text,clean_number
115.00,115.00
79.00,79.00
95.00,95.00
o.oo,0.00
586.00,586.00
"38,34",38.34
"13,500. 00",13500.00
945. 00,945.00
"14,445.00",14445.00
"12,780.00",12780.00
"2,000.00",2000.00
"14,780.00",14780.00
156,156
do,00
156,156
oo,00
lo,10
21,21
156 . 00,156.
156,156
oo,00
lo,10
2 1,21
a.0d,0.00
ชม.0ฎ,.0
.ฎน...,.
รงว],0
46 . 00,46.
14. 00,14.00
186 . 00,186.
17. 00,17.00
105. 00,105.00
thb  368. 0d,368.00
thb 24. 07,24.07
716,716
171,171
828,828
80,80
loo,100
552,552
a0,00
166,166
405. 00,405.00
390. 000,390.000
65. 000|,65.0001
100. 00,100.00
100. 00,100.00
75.00|,75.001
72. 00ข,72.00
72. 000,72.000
65. 000|,65.0001
55. 000|,55.0001
55. 000,55.000
65. 000,65.000
1519.00,1519.00
"15,00",15.00
69.00,69.00
"179,00",179.00
15.00,15.00
"30,00",30.00
"30,00",30.00
"139,00",139.00
"159,00",159.00
"200,00",200.00
"39,00",39.00
"89,00",89.00
"89,00",89.00
"89,00",89.00
"59,00",59.00
"1,300.00",1300.00
1.425,1.425
2.31d.d0,2310.00
"373,50",373.50
"4,108.50",4108.50
590.00,590.00
38.60,38.60
590.00,590.00
"1,200",1.200
250,250
860,860
350,350
10o,100
"1,330",1.330
143,143
110.11,110.11
"1,683,11",1683.11
3nd qd,30
ieu q0,10000
"350,00",350.00
50 qd,50
45.00,45.00
45.d0,45.00
30 00,3000
32120.00,32120.00
auu qd,0000
วร0 cd,0000
2dn,20
250 q0,250
"179,00",179.00
30.00,30.00
15.00,15.00
99.00,99.00
150.00,150.00
139.00,139.00
89.00,89.00
15.00,15.00
60.00,60.00
656.00,656.00
3o.00,30.00
40.00,40.00
50.00,50.00
550.00,550.00
250.00,250.00
280.00,280.00
150.00,150.00
200.00,200.00
120.00,120.00
 หมูทอดทรงเครือง.,010.
1oo.0d,100.00
8o.00,80.00
15.00,15.00
9d.00,90.00
65.00,65.00
4o.00,40.00
8515.00,8515.00
45.00,45.00
50.00,50.00
"|50,00",150.00
150.00,150.00
เo0.00,100.00
วoo.00,00.00
|60.00,160.00
150.00,150.00
so od,50000
|850.00,1850.00
80.00,80.00
25.00,25.00
220.00,220.00
"2,230.00",2230.00
2,2
40,40
s0.,50.
8,8
า,1
วา,1
3 6703,36703
3 6703,36703
"200, 00",200.00
"770, 00",770.00
"12d, q0",120.
"150, 00",150.00
1d. q0,10.
"20,00",20.00
20.00,20.00
"1,290. 00",1290.00
720.0d,720.00
20 00,2000
180 qd,180
l50 00,00
15.q0,15.00
"1,085,00",1085.00
6.48,6.48
"99,00",99.00
99.00,99.00
160.00,160.00
"150,00",150.00
"80,00",80.00
"70,00",70.00
"120,00",120.00
210.00,210.00
